entry_ts,entry,exit_ts,exit,pnl,ret
1756006800000,0.20040098293214997,1756009860000,0.200001509936352,-0.0003994729957979837,-0.001993368445369521
1756011660000,0.20054828951757597,1756013340000,0.199972644610572,-0.000575644907003986,-0.002870355605568686
1756019640000,0.198017165303958,1756021860000,0.197387110460844,-0.0006300548431139863,-0.003181819324334064
1756023240000,0.19796045732462997,1756024320000,0.196890666809436,-0.001069790515193958,-0.005404061647724109
1756026240000,0.19794322666918798,1756026900000,0.19658640230451002,-0.001356824364677961,-0.006854613757234288
1756028580000,0.19751880789240597,1756029840000,0.19686257055981,-0.0006562373325959825,-0.0033224042793608462
1756033140000,0.19590188959340998,1756033200000,0.19500065716698,-0.0009012324264299765,-0.004600427429773467
1756035300000,0.19561579663625997,1756037160000,0.19483400735361,-0.000781789282649964,-0.003996554961783945
1756037760000,0.195679402884966,1756039320000,0.195100447294962,-0.0005789555900039822,-0.0029586945864932585
1756040520000,0.19600540368208796,1756043160000,0.19556674715633401,-0.00043865652575394987,-0.0022379817980193607
1756045200000,0.19634384939769597,1756050060000,0.19705698701874,0.0007131376210440243,0.003632085360614269
1756053720000,0.19786238976503998,1756060860000,0.203950925735184,0.006088535970144027,0.030771567943630496
